2025-10-04 19:37:35,214.155,12.33194,7483.75,0.126051,23.875
2025-10-04 19:39:44,215.4659,12.3256,7490.313,0.126009,23.5625
2025-10-04 19:41:53,217.1322,12.32243,7493.125,0.125881,23.25
2025-10-04 19:44:03,215.7934,12.33511,7487.125,0.126179,23.625
2025-10-04 19:46:14,213.1265,12.32032,7478.313,0.126051,24.1875
2025-10-04 19:48:24,211.517,12.31926,7470.25,0.12669,24.5
2025-10-04 19:50:34,211.4449,12.31821,7469.875,0.126179,24.625
2025-10-04 19:52:43,210.7168,12.32349,7470.25,0.126179,24.75
2025-10-04 19:54:53,210.9137,12.3256,7466.875,0.126392,24.75
2025-10-04 19:57:04,211.1133,12.32032,7465.937,0.126222,24.6875
